Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1010.6	-154.996	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-963.558	-152.285	-811.273	0.625926	0.891926	0.334456	0.772346	0.09966089	0.8768704	0.772346	0.3344563	0.8919259	0.625926	0.06100336	0.03865753	0.1231296	69.38825	0.04951406	0.0594467	0.054296	0.054835	0.0578041	0.078129	0.0910857	0.0838074	0.0948477	0.0962981	0.0984294	0.0374858	0.0399089	0.0229334	0.0199743	0.0202188	0.0205937	0.0342338	0.035672	69.38825	1758.837	0.6121093	0	0.698824	1	0.8269026	0.164168	0.00892952	0.826903	0.008929519	0.1730974	0.1641679	0.6988243
100	-960.889	-150.597	-810.292	0.0375319	0.8155	0.177743	0.492125	0.1295548	0.8594074	0.4921252	0.1777426	0.8155001	0.03753187	0.0726272	0.05692757	0.1405926	69.38825	0.04700631	0.134097	0.134011	0.134403	0.136001	0.139989	0.146453	0.0261267	0.0263179	0.0263719	0.026197	0.00915096	0.00861007	0.00729528	0.00720857	0.00721994	0.00728226	0.0116624	0.0116037	69.38825	1758.837	0.5605907	0	0.973923	1	0.8399059	0.0739474	0.0861467	0.839906	0.08614673	0.1600941	0.07394739	0.973923
150	-958.941	-148.313	-810.628	0.408883	0.921093	0.373813	0.474892	0.1040179	0.7700982	0.474892	0.3738127	0.9210926	0.4088835	0.06051822	0.04349964	0.2299018	69.38825	0.07267609	0.10837	0.0971402	0.0950786	0.0937688	0.0962511	0.149102	0.0479787	0.0975098	0.100291	0.0998694	0.00227863	0.00261124	0.00188292	0.00118096	0.00121359	0.00120866	0.00209172	0.00217367	69.38825	1758.837	0.5818061	0	0.298616	1	0.993812	0.00608181	0.000106182	0.993812	0.0001061816	0.006187989	0.006081807	0.2986156
200	-961.648	-151.846	-809.802	0.410074	0.931758	0.366031	0.756162	0.1116002	0.85834	0.7561623	0.3660309	0.9317582	0.4100742	0.05495117	0.05664899	0.14166	69.38825	0.06658117	0.0811714	0.0776237	0.0785758	0.0820118	0.0969838	0.123703	0.0751295	0.0829613	0.0843858	0.0854762	0.0197971	0.0213321	0.0130166	0.0118544	0.0120309	0.012236	0.020079	0.0216314	69.38825	1758.837	0.4923933	0	0.792801	1	0.8868351	0.0619742	0.0511907	0.886835	0.05119072	0.1131649	0.06197416	0.7928012
250	-956.68	-146.522	-810.157	0.235581	0.943443	0.236045	0.402419	0.09123369	0.8331063	0.4024194	0.2360447	0.943443	0.2355815	0.02703363	0.06420005	0.1668937	69.38825	0.05079524	0.0881585	0.0850488	0.0855727	0.0869324	0.0929852	0.127311	0.074607	0.0813289	0.0826277	0.082268	0.0108961	0.0100822	0.0138651	0.0123087	0.0124797	0.0125827	0.0202132	0.0207318	69.38825	1758.837	0.296312	0	0.788971	1	0.9362103	0.00969243	0.0540973	0.93621	0.05409726	0.06378969	0.009692431	0.7889713
300	-956.679	-147.051	-809.627	0.350174	0.953021	0.364438	0.147548	0.09737598	0.7247008	0.1475485	0.3644377	0.9530213	0.3501735	0.03223302	0.06514296	0.2752992	69.38825	0.03694014	0.097719	0.0934459	0.0935928	0.0933871	0.0958666	0.145951	0.074322	0.0848627	0.0867583	0.0866197	0.00325965	0.00332402	0.00716318	0.00599928	0.00611509	0.00611287	0.00774724	0.00775347	69.38825	1758.837	0.3310161	0	0.711351	1	0.9892277	0.00563692	0.00513538	0.989228	0.005135384	0.01077231	0.005636925	0.7113511
350	-957.819	-147.861	-809.958	0.760453	0.794971	0.385391	0.308755	0.1165984	0.8693942	0.3087551	0.3853913	0.7949707	0.7604525	0.06960281	0.04699561	0.1306058	69.38825	0.0598721	0.0668523	0.055127	0.0553023	0.057545	0.0727676	0.109396	0.0689948	0.102841	0.105335	0.107032	0.0169831	0.0206897	0.0277747	0.0211086	0.0215201	0.0218581	0.0322955	0.0365773	69.38825	1758.837	0.5969447	0	0.434047	1	0.9235827	0.044945	0.0314724	0.923583	0.03147237	0.07641732	0.04494495	0.434047
400	-959.597	-148.201	-811.397	0.782125	0.471643	0.0977255	0.114836	0.1141704	0.9250684	0.1148362	0.09772553	0.4716435	0.7821246	0.07558618	0.0385842	0.07493161	69.38825	0.1024309	0.0374028	0.0245711	0.0242811	0.024109	0.0289098	0.053252	0.142652	0.185944	0.189476	0.188696	0.00748695	0.00852432	0.0211748	0.0121856	0.012404	0.0123	0.0142661	0.0123648	69.38825	1758.837	0.6620472	0	0.416584	1	0.9842205	0.00427612	0.0115034	0.98422	0.0115034	0.01577952	0.004276123	0.416584
450	-958.325	-147.392	-810.932	0.634146	0.78393	0.178566	0.0104886	0.1131711	0.8294331	0.01048857	0.1785663	0.78393	0.6341465	0.04269258	0.07047848	0.1705669	69.38825	0.05913413	0.0149155	0.0131695	0.0132439	0.01349	0.0157318	0.0368244	0.0391652	0.0443867	0.0452871	0.0452437	0.00425347	0.00536567	0.125385	0.117483	0.118059	0.116666	0.117504	0.113827	69.38825	1758.837	0.3772394	0	0.670459	1	0.9665123	0.00877955	0.0247081	0.966512	0.02470813	0.03348768	0.008779555	0.6704593
