Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
0	-1010.6	-154.996	-855.599	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	0.0526316	0.105263	0.842105	0	0.1
50	-963.558	-152.285	-811.273	0.0594467	0.054296	0.054835	0.0578041	0.078129	0.0910857	0.0838074	0.0948477	0.0962981	0.0984294	0.0374858	0.0399089	0.0229334	0.0199743	0.0202188	0.0205937	0.0342338	0.035672	0.164168	0.00892952	0.826903	0	0.6988243
100	-960.889	-150.597	-810.292	0.134097	0.134011	0.134403	0.136001	0.139989	0.146453	0.0261267	0.0263179	0.0263719	0.026197	0.00915096	0.00861007	0.00729528	0.00720857	0.00721994	0.00728226	0.0116624	0.0116037	0.0739474	0.0861467	0.839906	0	0.973923
150	-958.941	-148.313	-810.628	0.10837	0.0971402	0.0950786	0.0937688	0.0962511	0.149102	0.0479787	0.0975098	0.100291	0.0998694	0.00227863	0.00261124	0.00188292	0.00118096	0.00121359	0.00120866	0.00209172	0.00217367	0.00608181	0.000106182	0.993812	0	0.2986156
200	-961.648	-151.846	-809.802	0.0811714	0.0776237	0.0785758	0.0820118	0.0969838	0.123703	0.0751295	0.0829613	0.0843858	0.0854762	0.0197971	0.0213321	0.0130166	0.0118544	0.0120309	0.012236	0.020079	0.0216314	0.0619742	0.0511907	0.886835	0	0.7928012
250	-956.68	-146.522	-810.157	0.0881585	0.0850488	0.0855727	0.0869324	0.0929852	0.127311	0.074607	0.0813289	0.0826277	0.082268	0.0108961	0.0100822	0.0138651	0.0123087	0.0124797	0.0125827	0.0202132	0.0207318	0.00969243	0.0540973	0.93621	0	0.7889713
300	-956.679	-147.051	-809.627	0.097719	0.0934459	0.0935928	0.0933871	0.0958666	0.145951	0.074322	0.0848627	0.0867583	0.0866197	0.00325965	0.00332402	0.00716318	0.00599928	0.00611509	0.00611287	0.00774724	0.00775347	0.00563692	0.00513538	0.989228	0	0.7113511
350	-957.819	-147.861	-809.958	0.0668523	0.055127	0.0553023	0.057545	0.0727676	0.109396	0.0689948	0.102841	0.105335	0.107032	0.0169831	0.0206897	0.0277747	0.0211086	0.0215201	0.0218581	0.0322955	0.0365773	0.044945	0.0314724	0.923583	0	0.434047
400	-959.597	-148.201	-811.397	0.0374028	0.0245711	0.0242811	0.024109	0.0289098	0.053252	0.142652	0.185944	0.189476	0.188696	0.00748695	0.00852432	0.0211748	0.0121856	0.012404	0.0123	0.0142661	0.0123648	0.00427612	0.0115034	0.98422	0	0.416584
450	-958.325	-147.392	-810.932	0.0149155	0.0131695	0.0132439	0.01349	0.0157318	0.0368244	0.0391652	0.0443867	0.0452871	0.0452437	0.00425347	0.00536567	0.125385	0.117483	0.118059	0.116666	0.117504	0.113827	0.00877955	0.0247081	0.966512	0	0.6704593
500	-957.105	-145.942	-811.162	0.0534366	0.0468195	0.0472644	0.047257	0.0514426	0.0957336	0.105042	0.121659	0.124411	0.124272	0.00377641	0.00484688	0.0353026	0.0294953	0.0300542	0.0298617	0.0251163	0.0242103	0.00711854	0.0058093	0.987072	0	0.6903813
550	-962.128	-151.391	-810.737	0.0069963	0.00576076	0.00567972	0.00597902	0.00749755	0.0148389	0.0147509	0.019932	0.0204187	0.0205298	0.00382338	0.00427392	0.147225	0.142579	0.142829	0.142811	0.146528	0.147547	0.0229036	0.023174	0.953922	0	0.4100064
600	-960.036	-148.062	-811.974	0.046851	0.0470173	0.0475467	0.0506037	0.0669738	0.105354	0.115097	0.116412	0.117125	0.119118	0.0245966	0.0295469	0.0136698	0.0137396	0.0138155	0.014142	0.0266745	0.0317172	0.0406907	0.0473329	0.911976	0	0.9935176
650	-961.101	-146.985	-814.117	0.0868869	0.0830666	0.0836124	0.084042	0.0899705	0.0576184	0.103152	0.110695	0.112122	0.111531	0.00893156	0.00447888	0.0111876	0.0102893	0.0104135	0.0104071	0.0143101	0.00728452	0.00234611	0.0506568	0.946997	0	0.8447847
700	-964.15	-149.547	-814.603	0.105964	0.0961948	0.0948265	0.0932954	0.0960115	0.106412	0.0594111	0.0933435	0.0961971	0.0955601	0.00429177	0.0032258	0.0117447	0.00809543	0.00831083	0.00823537	0.0105299	0.00834967	0.00372693	0.0154248	0.980848	0	0.3992208
750	-965.624	-155.452	-810.172	0.0778526	0.0768759	0.0772448	0.0793779	0.0924699	0.0983839	0.0618992	0.0639128	0.0642264	0.0646994	0.0302468	0.0306189	0.0272459	0.0265958	0.0266993	0.0269772	0.0370095	0.0376639	0.192339	0.105006	0.702655	0	0.9157644
