Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1007.7	-152.102	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.0682097	0.0231869	0.0170565	0.0172366	0.0720884	0.0724174	0.0752878	0.0762796	0.0766399	0.077127	0.076757	0.075404	0.0184659	0.0717333	0.071923	0.072309	0.0171521	0.020726	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-958.966	-149.233	-809.733	0.830837	0.916206	0.773945	0.675427	0.09453272	0.7677914	0.6754269	0.7739454	0.9162061	0.8308373	0.04089214	0.05364058	0.2322086	69.38825	0.04280838	0.0580866	0.0418476	0.00664281	0.00673264	0.0634107	0.0618578	0.0679154	0.0684985	0.0687907	0.0699527	0.0710176	0.0676029	0.01084	0.0896139	0.0897906	0.090649	0.0107788	0.0559717	69.38825	1758.837	0.4325713	0	0.590431	1	0.9452266	0.0344371	0.0203363	0.945227	0.02033629	0.05477336	0.03443708	0.590431
100	-959.746	-149.784	-809.962	0.446429	0.708129	0.289151	0.942053	0.09289396	0.7694782	0.9420525	0.2891514	0.7081288	0.4464293	0.02735976	0.06553421	0.2305218	69.38825	0.04237102	0.0493916	0.0422813	0.0113931	0.0117315	0.0540791	0.053875	0.0864813	0.0843865	0.0864446	0.0884974	0.0890404	0.0842512	0.010591	0.0621405	0.0629407	0.0638405	0.0104239	0.0482103	69.38825	1758.837	0.2945267	0	0.755076	1	0.8955993	0.0123003	0.0921004	0.895599	0.09210041	0.1044007	0.01230027	0.7550758
150	-957.854	-148.374	-809.48	0.421533	0.999616	0.555504	0.884319	0.09848014	0.7310663	0.8843191	0.5555038	0.999616	0.4215334	0.03480016	0.06367998	0.2689337	69.38825	0.03608232	0.0727534	0.0630834	0.0153318	0.01584	0.0807899	0.0801814	0.0633436	0.0632383	0.0654292	0.067167	0.0658081	0.0616816	0.010076	0.0702759	0.0714041	0.0724569	0.00982368	0.0513157	69.38825	1758.837	0.3533724	0	0.733096	1	0.9218048	0.0121859	0.0660093	0.921805	0.0660093	0.07819517	0.01218587	0.7330965
200	-957.537	-146.537	-811	0.505189	0.690708	0.38999	0.432019	0.1200547	0.8756752	0.4320186	0.3899901	0.6907076	0.5051887	0.07966038	0.0403943	0.1243248	69.38825	0.08882335	0.0483995	0.0241282	0.000951652	0.000967188	0.0558366	0.0557119	0.0663838	0.0715542	0.0705008	0.0715069	0.0727999	0.0724716	0.00214243	0.113357	0.112417	0.113436	0.00216318	0.0452725	69.38825	1758.837	0.6635342	0	0.382815	1	0.9898393	0.00639152	0.00376914	0.989839	0.003769138	0.01016066	0.006391522	0.3828153
250	-960.809	-150.817	-809.992	0.300728	0.477896	0.367737	0.413772	0.1019611	0.865801	0.4137721	0.3677375	0.4778957	0.3007277	0.04498946	0.05697164	0.134199	69.38825	0.08074809	0.0698426	0.0357132	0.0224201	0.0229488	0.0766775	0.0768302	0.0664392	0.0670716	0.0680741	0.0691054	0.0684257	0.0656924	0.0211788	0.0729411	0.0735081	0.0743852	0.0197278	0.0290181	69.38825	1758.837	0.4412414	0	0.229361	1	0.8251831	0.0424458	0.132371	0.825183	0.1323711	0.1748169	0.04244576	0.2293612
300	-960.488	-150.831	-809.657	0.918508	0.927349	0.297375	0.903733	0.1073088	0.7425614	0.9037329	0.2973752	0.9273492	0.9185076	0.06266586	0.04464297	0.2574386	69.38825	0.0351139	0.0279849	0.0109006	0.00210707	0.00218406	0.031285	0.0313995	0.0940259	0.0925726	0.0915278	0.0943529	0.0986413	0.0981442	0.00753242	0.0929	0.0923284	0.0943502	0.0070028	0.0307603	69.38825	1758.837	0.5839768	0	0.270791	1	0.9562099	0.0106848	0.0331053	0.95621	0.03310529	0.04379005	0.01068476	0.270791
350	-958.022	-148.087	-809.935	0.319138	0.829241	0.681564	0.807096	0.09913744	0.8399913	0.8070956	0.6815637	0.8292415	0.3191377	0.03554415	0.06359329	0.1600087	69.38825	0.05796264	0.11135	0.0351383	0.00291616	0.00286053	0.127966	0.127175	0.0563889	0.0678411	0.0671919	0.063732	0.060937	0.0601158	0.000837895	0.069096	0.0686571	0.0654382	0.000872537	0.0114846	69.38825	1758.837	0.3585341	0	0.175209	1	0.9922154	0.0076986	8.60182e-05	0.992215	8.601822e-05	0.007784622	0.007698604	0.1752085
400	-958.955	-149.041	-809.914	0.679626	0.752037	0.439561	0.633765	0.09580326	0.8524537	0.6337652	0.4395608	0.752037	0.6796255	0.03747579	0.05832747	0.1475463	69.38825	0.06057845	0.0463874	0.0310851	0.00845105	0.00864427	0.050015	0.0486208	0.0776837	0.0742214	0.0749542	0.076667	0.0806863	0.0759152	0.0167415	0.0853511	0.0858354	0.0871856	0.0164979	0.0550572	69.38825	1758.837	0.3911745	0	0.567372	1	0.8784921	0.0327701	0.0887378	0.878492	0.08873785	0.1215079	0.03277007	0.567372
450	-958.516	-147.534	-810.983	0.640187	0.888856	0.354335	0.591714	0.08443779	0.8674959	0.5917142	0.3543354	0.8888561	0.6401873	0.01716283	0.06727496	0.1325041	69.38825	0.05224184	0.0383623	0.0248505	0.00336777	0.00344609	0.0420086	0.041175	0.0738032	0.0719696	0.0715154	0.0729349	0.0776238	0.0746712	0.00993494	0.106163	0.105756	0.107177	0.00984158	0.0653992	69.38825	1758.837	0.2032601	0	0.562638	1	0.941918	0.015643	0.042439	0.941918	0.04243904	0.05808203	0.01564299	0.562638
