Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
0	-1007.7	-152.102	-855.599	0.0682097	0.0231869	0.0170565	0.0172366	0.0720884	0.0724174	0.0752878	0.0762796	0.0766399	0.077127	0.076757	0.075404	0.0184659	0.0717333	0.071923	0.072309	0.0171521	0.020726	0.0526316	0.105263	0.842105	0	0.1
50	-958.966	-149.233	-809.733	0.0580866	0.0418476	0.00664281	0.00673264	0.0634107	0.0618578	0.0679154	0.0684985	0.0687907	0.0699527	0.0710176	0.0676029	0.01084	0.0896139	0.0897906	0.090649	0.0107788	0.0559717	0.0344371	0.0203363	0.945227	0	0.590431
100	-959.746	-149.784	-809.962	0.0493916	0.0422813	0.0113931	0.0117315	0.0540791	0.053875	0.0864813	0.0843865	0.0864446	0.0884974	0.0890404	0.0842512	0.010591	0.0621405	0.0629407	0.0638405	0.0104239	0.0482103	0.0123003	0.0921004	0.895599	0	0.7550758
150	-957.854	-148.374	-809.48	0.0727534	0.0630834	0.0153318	0.01584	0.0807899	0.0801814	0.0633436	0.0632383	0.0654292	0.067167	0.0658081	0.0616816	0.010076	0.0702759	0.0714041	0.0724569	0.00982368	0.0513157	0.0121859	0.0660093	0.921805	0	0.7330965
200	-957.537	-146.537	-811	0.0483995	0.0241282	0.000951652	0.000967188	0.0558366	0.0557119	0.0663838	0.0715542	0.0705008	0.0715069	0.0727999	0.0724716	0.00214243	0.113357	0.112417	0.113436	0.00216318	0.0452725	0.00639152	0.00376914	0.989839	0	0.3828153
250	-960.809	-150.817	-809.992	0.0698426	0.0357132	0.0224201	0.0229488	0.0766775	0.0768302	0.0664392	0.0670716	0.0680741	0.0691054	0.0684257	0.0656924	0.0211788	0.0729411	0.0735081	0.0743852	0.0197278	0.0290181	0.0424458	0.132371	0.825183	0	0.2293612
300	-960.488	-150.831	-809.657	0.0279849	0.0109006	0.00210707	0.00218406	0.031285	0.0313995	0.0940259	0.0925726	0.0915278	0.0943529	0.0986413	0.0981442	0.00753242	0.0929	0.0923284	0.0943502	0.0070028	0.0307603	0.0106848	0.0331053	0.95621	0	0.270791
350	-958.022	-148.087	-809.935	0.11135	0.0351383	0.00291616	0.00286053	0.127966	0.127175	0.0563889	0.0678411	0.0671919	0.063732	0.060937	0.0601158	0.000837895	0.069096	0.0686571	0.0654382	0.000872537	0.0114846	0.0076986	8.60182e-05	0.992215	0	0.1752085
400	-958.955	-149.041	-809.914	0.0463874	0.0310851	0.00845105	0.00864427	0.050015	0.0486208	0.0776837	0.0742214	0.0749542	0.076667	0.0806863	0.0759152	0.0167415	0.0853511	0.0858354	0.0871856	0.0164979	0.0550572	0.0327701	0.0887378	0.878492	0	0.567372
450	-958.516	-147.534	-810.983	0.0383623	0.0248505	0.00336777	0.00344609	0.0420086	0.041175	0.0738032	0.0719696	0.0715154	0.0729349	0.0776238	0.0746712	0.00993494	0.106163	0.105756	0.107177	0.00984158	0.0653992	0.015643	0.042439	0.941918	0	0.562638
500	-966.005	-156.139	-809.866	0.0713287	0.0442816	0.0269965	0.0272626	0.0747028	0.0727427	0.060841	0.0599581	0.0623698	0.0631721	0.062003	0.0581538	0.0271178	0.0726035	0.0742101	0.0750151	0.0265975	0.0406433	0.124216	0.103647	0.772137	0	0.3594266
550	-962.692	-151.709	-810.982	0.0584962	0.0226998	0.0204214	0.020959	0.0629702	0.0644426	0.0817481	0.0778292	0.0771694	0.0786257	0.0817208	0.080504	0.0201338	0.0712481	0.0707956	0.0719278	0.0186922	0.019616	0.0342204	0.172111	0.793668	0	0.04814467
600	-959.821	-147.825	-811.996	0.166018	0.113857	0.0686002	0.0666928	0.176674	0.176619	0.0192106	0.0266577	0.0282861	0.0234476	0.0166912	0.014557	0.00147597	0.0331814	0.034526	0.0293242	0.00110107	0.00308031	0.00511359	0.0309719	0.963915	0	0.1332316
