Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null
0	-1032.29	-177.785	-854.501	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.01	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	69.38825	1758.837	0.75	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158
50	-984.723	-172.529	-812.194	0.595473	0.683124	0.148735	0.638946	0.1581033	0.9616585	0.6389463	0.1487354	0.6831237	0.5954734	0.1158535	0.04224973	0.03834149	69.38825	0.03847706	0.0179521	0.0179521	0.0179521	0.0179521	0.0179521	0.0179521	0.0718726	0.0718726	0.0718726	0.0718726	0.0718726	0.0718726	0.076842	0.076842	0.076842	0.076842	0.076842	0.076842	69.38825	1758.837	0.7327713	0.4695974	0.212068	0.318335	0.469597	0.3183348	0.5304026	0.2120678
100	-985.472	-176.985	-808.487	0.794419	0.830991	0.314283	0.450895	0.1047023	0.8745691	0.4508954	0.3142833	0.8309905	0.7944186	0.04212689	0.06257542	0.1254309	69.38825	0.01507255	0.0203594	0.0203594	0.0203594	0.0203594	0.0203594	0.0203594	0.0514627	0.0514627	0.0514627	0.0514627	0.0514627	0.0514627	0.0948446	0.0948446	0.0948446	0.0948446	0.0948446	0.0948446	69.38825	1758.837	0.4023492	0.2426174	0.364813	0.39257	0.242617	0.3925696	0.7573826	0.364813
150	-979.843	-170.783	-809.06	0.208268	0.986048	0.496901	0.976893	0.09886375	0.8292975	0.9768928	0.4969014	0.9860484	0.2082685	0.0498924	0.04897135	0.1707025	69.38825	0.02099353	0.0904717	0.0904717	0.0904717	0.0904717	0.0904717	0.0904717	0.0379198	0.0379198	0.0379198	0.0379198	0.0379198	0.0379198	0.0382752	0.0382752	0.0382752	0.0382752	0.0382752	0.0382752	69.38825	1758.837	0.5046581	0.2455619	0.266794	0.487644	0.245562	0.4876436	0.7544381	0.2667945
200	-979.305	-169.062	-810.242	0.231779	0.352752	0.157078	0.312862	0.09605337	0.9676166	0.3128625	0.1570778	0.3527519	0.2317785	0.03643273	0.05962064	0.03238338	69.38825	0.0838706	0.0402648	0.0402648	0.0402648	0.0402648	0.0402648	0.0402648	0.0594134	0.0594134	0.0594134	0.0594134	0.0594134	0.0594134	0.0669885	0.0669885	0.0669885	0.0669885	0.0669885	0.0669885	69.38825	1758.837	0.3792967	0.04034732	0.628164	0.331489	0.0403473	0.3314891	0.9596527	0.6281636
250	-989.249	-176.654	-812.595	0.580937	0.86147	0.0229399	0.275305	0.07504353	0.9726494	0.275305	0.02293995	0.8614699	0.580937	0.008952809	0.06609072	0.02735056	69.38825	0.05611168	0.00157877	0.00157877	0.00157877	0.00157877	0.00157877	0.00157877	0.0399811	0.0399811	0.0399811	0.0399811	0.0399811	0.0399811	0.125107	0.125107	0.125107	0.125107	0.125107	0.125107	69.38825	1758.837	0.1193015	0.09307394	0.470219	0.436707	0.0930739	0.4367068	0.9069261	0.4702192
300	-981.666	-169.018	-812.648	0.464469	0.38264	0.177165	0.477543	0.08423298	0.9473426	0.4775429	0.1771646	0.3826396	0.4644687	0.006806783	0.0774262	0.05265744	69.38825	0.05827864	0.0291256	0.0291256	0.0291256	0.0291256	0.0291256	0.0291256	0.0763579	0.0763579	0.0763579	0.0763579	0.0763579	0.0763579	0.0611831	0.0611831	0.0611831	0.0611831	0.0611831	0.0611831	69.38825	1758.837	0.08080901	0.0292937	0.000231809	0.970474	0.0292937	0.9704745	0.9707063	0.000231809
350	-981.344	-170.494	-810.85	0.863577	0.604774	0.317916	0.943332	0.08267081	0.8983445	0.9433325	0.317916	0.6047736	0.8635766	0.0159212	0.06674961	0.1016555	69.38825	0.0381323	0.0305371	0.0305371	0.0305371	0.0305371	0.0305371	0.0305371	0.08295	0.08295	0.08295	0.08295	0.08295	0.08295	0.0531795	0.0531795	0.0531795	0.0531795	0.0531795	0.0531795	69.38825	1758.837	0.1925855	0.6429184	0.0576813	0.2994	0.642918	0.2994004	0.3570816	0.05768126
400	-981.987	-170.26	-811.727	0.501225	0.370968	0.151592	0.640085	0.09461154	0.9547573	0.6400852	0.1515917	0.3709682	0.5012249	0.01807788	0.07653367	0.04524268	69.38825	0.06787187	0.0267837	0.0267837	0.0267837	0.0267837	0.0267837	0.0267837	0.0885581	0.0885581	0.0885581	0.0885581	0.0885581	0.0885581	0.0513248	0.0513248	0.0513248	0.0513248	0.0513248	0.0513248	69.38825	1758.837	0.1910747	0.0370472	0.788206	0.174747	0.0370472	0.1747467	0.9629528	0.7882061
450	-979.308	-170.067	-809.241	0.619636	0.617563	0.215622	0.569689	0.1138451	0.9080097	0.5696891	0.2156219	0.6175627	0.619636	0.05471271	0.05913243	0.09199034	69.38825	0.03278454	0.0238473	0.0238473	0.0238473	0.0238473	0.0238473	0.0238473	0.0685302	0.0685302	0.0685302	0.0685302	0.0685302	0.0685302	0.0742892	0.0742892	0.0742892	0.0742892	0.0742892	0.0742892	69.38825	1758.837	0.4805889	0.8997159	0.0155217	0.0847624	0.899716	0.08476235	0.1002841	0.01552175
