Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
0	-1032.29	-177.785	-854.501	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0555556	0.0526316	0.105263	0.842105	1	1
50	-984.723	-172.529	-812.194	0.0179521	0.0179521	0.0179521	0.0179521	0.0179521	0.0179521	0.0718726	0.0718726	0.0718726	0.0718726	0.0718726	0.0718726	0.076842	0.076842	0.076842	0.076842	0.076842	0.076842	0.212068	0.318335	0.469597	1	1
100	-985.472	-176.985	-808.487	0.0203594	0.0203594	0.0203594	0.0203594	0.0203594	0.0203594	0.0514627	0.0514627	0.0514627	0.0514627	0.0514627	0.0514627	0.0948446	0.0948446	0.0948446	0.0948446	0.0948446	0.0948446	0.364813	0.39257	0.242617	1	1
150	-979.843	-170.783	-809.06	0.0904717	0.0904717	0.0904717	0.0904717	0.0904717	0.0904717	0.0379198	0.0379198	0.0379198	0.0379198	0.0379198	0.0379198	0.0382752	0.0382752	0.0382752	0.0382752	0.0382752	0.0382752	0.266794	0.487644	0.245562	1	1
200	-979.305	-169.062	-810.242	0.0402648	0.0402648	0.0402648	0.0402648	0.0402648	0.0402648	0.0594134	0.0594134	0.0594134	0.0594134	0.0594134	0.0594134	0.0669885	0.0669885	0.0669885	0.0669885	0.0669885	0.0669885	0.628164	0.331489	0.0403473	1	1
250	-989.249	-176.654	-812.595	0.00157877	0.00157877	0.00157877	0.00157877	0.00157877	0.00157877	0.0399811	0.0399811	0.0399811	0.0399811	0.0399811	0.0399811	0.125107	0.125107	0.125107	0.125107	0.125107	0.125107	0.470219	0.436707	0.0930739	1	1
300	-981.666	-169.018	-812.648	0.0291256	0.0291256	0.0291256	0.0291256	0.0291256	0.0291256	0.0763579	0.0763579	0.0763579	0.0763579	0.0763579	0.0763579	0.0611831	0.0611831	0.0611831	0.0611831	0.0611831	0.0611831	0.000231809	0.970474	0.0292937	1	1
350	-981.344	-170.494	-810.85	0.0305371	0.0305371	0.0305371	0.0305371	0.0305371	0.0305371	0.08295	0.08295	0.08295	0.08295	0.08295	0.08295	0.0531795	0.0531795	0.0531795	0.0531795	0.0531795	0.0531795	0.0576813	0.2994	0.642918	1	1
400	-981.987	-170.26	-811.727	0.0267837	0.0267837	0.0267837	0.0267837	0.0267837	0.0267837	0.0885581	0.0885581	0.0885581	0.0885581	0.0885581	0.0885581	0.0513248	0.0513248	0.0513248	0.0513248	0.0513248	0.0513248	0.788206	0.174747	0.0370472	1	1
450	-979.308	-170.067	-809.241	0.0238473	0.0238473	0.0238473	0.0238473	0.0238473	0.0238473	0.0685302	0.0685302	0.0685302	0.0685302	0.0685302	0.0685302	0.0742892	0.0742892	0.0742892	0.0742892	0.0742892	0.0742892	0.0155217	0.0847624	0.899716	1	1
500	-979.105	-169.31	-809.795	0.0285235	0.0285235	0.0285235	0.0285235	0.0285235	0.0285235	0.0722149	0.0722149	0.0722149	0.0722149	0.0722149	0.0722149	0.0659283	0.0659283	0.0659283	0.0659283	0.0659283	0.0659283	0.481408	0.253959	0.264633	1	1
550	-979.36	-169.771	-809.589	0.0848466	0.0848466	0.0848466	0.0848466	0.0848466	0.0848466	0.0426577	0.0426577	0.0426577	0.0426577	0.0426577	0.0426577	0.0391623	0.0391623	0.0391623	0.0391623	0.0391623	0.0391623	0.246529	0.0812957	0.672175	1	1
600	-978.061	-168.934	-809.127	0.0499048	0.0499048	0.0499048	0.0499048	0.0499048	0.0499048	0.0597929	0.0597929	0.0597929	0.0597929	0.0597929	0.0597929	0.056969	0.056969	0.056969	0.056969	0.056969	0.056969	0.00967448	0.0177667	0.972559	1	1
650	-978.542	-169.251	-809.291	0.0230515	0.0230515	0.0230515	0.0230515	0.0230515	0.0230515	0.0823836	0.0823836	0.0823836	0.0823836	0.0823836	0.0823836	0.0612316	0.0612316	0.0612316	0.0612316	0.0612316	0.0612316	0.337651	0.583889	0.0784602	1	1
700	-981.426	-170.716	-810.71	0.0474922	0.0474922	0.0474922	0.0474922	0.0474922	0.0474922	0.0497029	0.0497029	0.0497029	0.0497029	0.0497029	0.0497029	0.0694716	0.0694716	0.0694716	0.0694716	0.0694716	0.0694716	0.371535	0.434213	0.194253	1	1
750	-979.878	-170.18	-809.698	0.0250871	0.0250871	0.0250871	0.0250871	0.0250871	0.0250871	0.0792093	0.0792093	0.0792093	0.0792093	0.0792093	0.0792093	0.0623702	0.0623702	0.0623702	0.0623702	0.0623702	0.0623702	0.430121	0.315474	0.254405	1	1
800	-979.543	-169.879	-809.664	0.0429758	0.0429758	0.0429758	0.0429758	0.0429758	0.0429758	0.0768643	0.0768643	0.0768643	0.0768643	0.0768643	0.0768643	0.0468265	0.0468265	0.0468265	0.0468265	0.0468265	0.0468265	0.00924984	0.601191	0.389559	1	1
850	-982.806	-170.037	-812.77	0.113961	0.113961	0.113961	0.113961	0.113961	0.113961	0.0295924	0.0295924	0.0295924	0.0295924	0.0295924	0.0295924	0.0231129	0.0231129	0.0231129	0.0231129	0.0231129	0.0231129	0.108481	0.557306	0.334213	1	1
900	-984.232	-175.473	-808.759	0.0583773	0.0583773	0.0583773	0.0583773	0.0583773	0.0583773	0.0689153	0.0689153	0.0689153	0.0689153	0.0689153	0.0689153	0.039374	0.039374	0.039374	0.039374	0.039374	0.039374	0.0178417	0.688032	0.294126	1	1
950	-981.232	-169.585	-811.647	0.0488053	0.0488053	0.0488053	0.0488053	0.0488053	0.0488053	0.0603885	0.0603885	0.0603885	0.0603885	0.0603885	0.0603885	0.0574729	0.0574729	0.0574729	0.0574729	0.0574729	0.0574729	0.218862	0.691315	0.0898231	1	1
1000	-980.821	-170.449	-810.372	0.0425482	0.0425482	0.0425482	0.0425482	0.0425482	0.0425482	0.0722778	0.0722778	0.0722778	0.0722778	0.0722778	0.0722778	0.0518406	0.0518406	0.0518406	0.0518406	0.0518406	0.0518406	0.0214568	0.643003	0.33554	1	1
1050	-984.603	-174.649	-809.954	0.0509871	0.0509871	0.0509871	0.0509871	0.0509871	0.0509871	0.0282726	0.0282726	0.0282726	0.0282726	0.0282726	0.0282726	0.087407	0.087407	0.087407	0.087407	0.087407	0.087407	0.172216	0.490655	0.337129	1	1
1100	-982.071	-170.981	-811.09	0.115293	0.115293	0.115293	0.115293	0.115293	0.115293	0.0277573	0.0277573	0.0277573	0.0277573	0.0277573	0.0277573	0.0236162	0.0236162	0.0236162	0.0236162	0.0236162	0.0236162	0.189424	0.568148	0.242428	1	1
1150	-983.731	-171.236	-812.494	0.12146	0.12146	0.12146	0.12146	0.12146	0.12146	0.0208236	0.0208236	0.0208236	0.0208236	0.0208236	0.0208236	0.0243829	0.0243829	0.0243829	0.0243829	0.0243829	0.0243829	0.66024	0.237945	0.101815	1	1
1200	-980.518	-170.669	-809.849	0.133297	0.133297	0.133297	0.133297	0.133297	0.133297	0.0150992	0.0150992	0.0150992	0.0150992	0.0150992	0.0150992	0.018271	0.018271	0.018271	0.018271	0.018271	0.018271	0.0762082	0.66446	0.259332	1	1
1250	-979.572	-170.224	-809.348	0.132269	0.132269	0.132269	0.132269	0.132269	0.132269	0.0164509	0.0164509	0.0164509	0.0164509	0.0164509	0.0164509	0.0179465	0.0179465	0.0179465	0.0179465	0.0179465	0.0179465	0.61256	0.250138	0.137302	1	1
1300	-979.595	-170.484	-809.111	0.0920585	0.0920585	0.0920585	0.0920585	0.0920585	0.0920585	0.0395676	0.0395676	0.0395676	0.0395676	0.0395676	0.0395676	0.0350405	0.0350405	0.0350405	0.0350405	0.0350405	0.0350405	0.803214	0.123486	0.0732999	1	1
1350	-978.652	-169.57	-809.082	0.0871581	0.0871581	0.0871581	0.0871581	0.0871581	0.0871581	0.0470284	0.0470284	0.0470284	0.0470284	0.0470284	0.0470284	0.0324801	0.0324801	0.0324801	0.0324801	0.0324801	0.0324801	0.429564	0.32207	0.248366	1	1
1400	-981.379	-172.692	-808.687	0.0669531	0.0669531	0.0669531	0.0669531	0.0669531	0.0669531	0.0529337	0.0529337	0.0529337	0.0529337	0.0529337	0.0529337	0.0467799	0.0467799	0.0467799	0.0467799	0.0467799	0.0467799	0.661861	0.244591	0.093548	1	1
1450	-978.448	-168.952	-809.496	0.042421	0.042421	0.042421	0.042421	0.042421	0.042421	0.0714133	0.0714133	0.0714133	0.0714133	0.0714133	0.0714133	0.0528323	0.0528323	0.0528323	0.0528323	0.0528323	0.0528323	0.251833	0.709584	0.0385831	1	1
1500	-980.914	-171.326	-809.588	0.0157047	0.0157047	0.0157047	0.0157047	0.0157047	0.0157047	0.0565338	0.0565338	0.0565338	0.0565338	0.0565338	0.0565338	0.0944282	0.0944282	0.0944282	0.0944282	0.0944282	0.0944282	0.592652	0.0863916	0.320956	1	1
1550	-980.154	-170.425	-809.729	0.0244836	0.0244836	0.0244836	0.0244836	0.0244836	0.0244836	0.0520495	0.0520495	0.0520495	0.0520495	0.0520495	0.0520495	0.0901335	0.0901335	0.0901335	0.0901335	0.0901335	0.0901335	0.192656	0.429763	0.377581	1	1
1600	-981.697	-171.985	-809.712	0.0778551	0.0778551	0.0778551	0.0778551	0.0778551	0.0778551	0.0672471	0.0672471	0.0672471	0.0672471	0.0672471	0.0672471	0.0215644	0.0215644	0.0215644	0.0215644	0.0215644	0.0215644	0.191114	0.0300864	0.778799	1	1
1650	-980.102	-170.42	-809.682	0.0710132	0.0710132	0.0710132	0.0710132	0.0710132	0.0710132	0.0463535	0.0463535	0.0463535	0.0463535	0.0463535	0.0463535	0.0492999	0.0492999	0.0492999	0.0492999	0.0492999	0.0492999	0.169417	0.450851	0.379732	1	1
1700	-978.382	-169.179	-809.203	0.03227	0.03227	0.03227	0.03227	0.03227	0.03227	0.06503	0.06503	0.06503	0.06503	0.06503	0.06503	0.0693667	0.0693667	0.0693667	0.0693667	0.0693667	0.0693667	0.381044	0.524975	0.0939811	1	1
1750	-978.419	-169.175	-809.244	0.0542395	0.0542395	0.0542395	0.0542395	0.0542395	0.0542395	0.0637443	0.0637443	0.0637443	0.0637443	0.0637443	0.0637443	0.0486828	0.0486828	0.0486828	0.0486828	0.0486828	0.0486828	0.789083	0.00921584	0.201702	1	1
1800	-979.254	-169.921	-809.332	0.0357076	0.0357076	0.0357076	0.0357076	0.0357076	0.0357076	0.0718146	0.0718146	0.0718146	0.0718146	0.0718146	0.0718146	0.0591445	0.0591445	0.0591445	0.0591445	0.0591445	0.0591445	0.282887	0.00456101	0.712552	1	1
1850	-980.768	-170.243	-810.524	0.0430422	0.0430422	0.0430422	0.0430422	0.0430422	0.0430422	0.0610062	0.0610062	0.0610062	0.0610062	0.0610062	0.0610062	0.0626183	0.0626183	0.0626183	0.0626183	0.0626183	0.0626183	0.491578	0.425058	0.0833646	1	1
1900	-981.503	-171.798	-809.706	0.039759	0.039759	0.039759	0.039759	0.039759	0.039759	0.0860344	0.0860344	0.0860344	0.0860344	0.0860344	0.0860344	0.0408733	0.0408733	0.0408733	0.0408733	0.0408733	0.0408733	0.519607	0.0910538	0.38934	1	1
1950	-980.345	-170.274	-810.071	0.0249754	0.0249754	0.0249754	0.0249754	0.0249754	0.0249754	0.0869181	0.0869181	0.0869181	0.0869181	0.0869181	0.0869181	0.0547732	0.0547732	0.0547732	0.0547732	0.0547732	0.0547732	0.332182	0.446939	0.22088	1	1
2000	-982.197	-169.078	-813.118	0.055563	0.055563	0.055563	0.055563	0.055563	0.055563	0.0575309	0.0575309	0.0575309	0.0575309	0.0575309	0.0575309	0.0535728	0.0535728	0.0535728	0.0535728	0.0535728	0.0535728	0.44367	0.27331	0.283019	1	1
2050	-985.786	-172.363	-813.423	0.0609686	0.0609686	0.0609686	0.0609686	0.0609686	0.0609686	0.0767249	0.0767249	0.0767249	0.0767249	0.0767249	0.0767249	0.0289731	0.0289731	0.0289731	0.0289731	0.0289731	0.0289731	0.0391633	0.776187	0.18465	1	1
2100	-979.179	-169.457	-809.722	0.0172868	0.0172868	0.0172868	0.0172868	0.0172868	0.0172868	0.0571742	0.0571742	0.0571742	0.0571742	0.0571742	0.0571742	0.0922056	0.0922056	0.0922056	0.0922056	0.0922056	0.0922056	0.18457	0.407234	0.408197	1	1
2150	-981.272	-171.012	-810.26	0.0386903	0.0386903	0.0386903	0.0386903	0.0386903	0.0386903	0.064523	0.064523	0.064523	0.064523	0.064523	0.064523	0.0634533	0.0634533	0.0634533	0.0634533	0.0634533	0.0634533	0.467477	0.416172	0.116351	1	1
2200	-982.529	-171.938	-810.591	0.0563139	0.0563139	0.0563139	0.0563139	0.0563139	0.0563139	0.0776224	0.0776224	0.0776224	0.0776224	0.0776224	0.0776224	0.0327304	0.0327304	0.0327304	0.0327304	0.0327304	0.0327304	0.0302338	0.33855	0.631216	1	1
2250	-980.576	-170.486	-810.09	0.0381495	0.0381495	0.0381495	0.0381495	0.0381495	0.0381495	0.0701365	0.0701365	0.0701365	0.0701365	0.0701365	0.0701365	0.0583807	0.0583807	0.0583807	0.0583807	0.0583807	0.0583807	0.103117	0.570049	0.326834	1	1
2300	-980.408	-170.506	-809.902	0.0175278	0.0175278	0.0175278	0.0175278	0.0175278	0.0175278	0.0561662	0.0561662	0.0561662	0.0561662	0.0561662	0.0561662	0.0929727	0.0929727	0.0929727	0.0929727	0.0929727	0.0929727	0.365526	0.256265	0.378209	1	1
2350	-981.016	-171.026	-809.991	0.0342563	0.0342563	0.0342563	0.0342563	0.0342563	0.0342563	0.0684677	0.0684677	0.0684677	0.0684677	0.0684677	0.0684677	0.0639427	0.0639427	0.0639427	0.0639427	0.0639427	0.0639427	0.512012	0.0200996	0.467889	1	1
2400	-982.402	-170.915	-811.487	0.055134	0.055134	0.055134	0.055134	0.055134	0.055134	0.0470883	0.0470883	0.0470883	0.0470883	0.0470883	0.0470883	0.0644444	0.0644444	0.0644444	0.0644444	0.0644444	0.0644444	0.831618	0.14173	0.0266525	1	1
2450	-978.804	-169.681	-809.124	0.051734	0.051734	0.051734	0.051734	0.051734	0.051734	0.0662639	0.0662639	0.0662639	0.0662639	0.0662639	0.0662639	0.0486688	0.0486688	0.0486688	0.0486688	0.0486688	0.0486688	0.101856	0.591881	0.306263	1	1
2500	-980.144	-170.05	-810.094	0.0177605	0.0177605	0.0177605	0.0177605	0.0177605	0.0177605	0.0533801	0.0533801	0.0533801	0.0533801	0.0533801	0.0533801	0.0955261	0.0955261	0.0955261	0.0955261	0.0955261	0.0955261	0.13833	0.570675	0.290995	1	1
2550	-979.187	-169.713	-809.474	0.0669127	0.0669127	0.0669127	0.0669127	0.0669127	0.0669127	0.0516096	0.0516096	0.0516096	0.0516096	0.0516096	0.0516096	0.0481443	0.0481443	0.0481443	0.0481443	0.0481443	0.0481443	0.780355	0.149712	0.0699324	1	1
2600	-979.81	-169.838	-809.972	0.0364267	0.0364267	0.0364267	0.0364267	0.0364267	0.0364267	0.0564306	0.0564306	0.0564306	0.0564306	0.0564306	0.0564306	0.0738094	0.0738094	0.0738094	0.0738094	0.0738094	0.0738094	0.234385	0.298231	0.467384	1	1
2650	-978.421	-169.335	-809.086	0.0493661	0.0493661	0.0493661	0.0493661	0.0493661	0.0493661	0.0619537	0.0619537	0.0619537	0.0619537	0.0619537	0.0619537	0.0553469	0.0553469	0.0553469	0.0553469	0.0553469	0.0553469	0.565602	0.305446	0.128952	1	1
2700	-981.613	-172.081	-809.532	0.0805696	0.0805696	0.0805696	0.0805696	0.0805696	0.0805696	0.0415245	0.0415245	0.0415245	0.0415245	0.0415245	0.0415245	0.0445726	0.0445726	0.0445726	0.0445726	0.0445726	0.0445726	0.267552	0.693015	0.0394339	1	1
2750	-980.777	-171.563	-809.213	0.0305789	0.0305789	0.0305789	0.0305789	0.0305789	0.0305789	0.0609789	0.0609789	0.0609789	0.0609789	0.0609789	0.0609789	0.0751089	0.0751089	0.0751089	0.0751089	0.0751089	0.0751089	0.118472	0.0619368	0.819591	1	1
2800	-979.336	-170.041	-809.295	0.0328301	0.0328301	0.0328301	0.0328301	0.0328301	0.0328301	0.0672657	0.0672657	0.0672657	0.0672657	0.0672657	0.0672657	0.0665708	0.0665708	0.0665708	0.0665708	0.0665708	0.0665708	0.00183146	0.0228753	0.975293	1	1
2850	-979.956	-171.076	-808.88	0.0601224	0.0601224	0.0601224	0.0601224	0.0601224	0.0601224	0.0722131	0.0722131	0.0722131	0.0722131	0.0722131	0.0722131	0.0343312	0.0343312	0.0343312	0.0343312	0.0343312	0.0343312	0.348151	0.0928445	0.559005	1	1
