Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1016.51	-160.912	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-969.511	-159.893	-809.618	0.398333	0.710862	0.315164	0.368439	0.09962343	0.8191375	0.3684394	0.3151642	0.7108617	0.3983332	0.038528	0.06109543	0.1808625	69.38825	0.04836928	0.0664026	0.0624859	0.0628335	0.0647682	0.0751107	0.090553	0.0658414	0.0747907	0.0758529	0.0753512	0.0284437	0.0277781	0.0367673	0.0327979	0.033085	0.0335576	0.0452489	0.0483315	69.38825	1758.837	0.3867363	0	0.664731	1	0.780986	0.0319477	0.187066	0.780986	0.1870662	0.219014	0.03194773	0.6647314
100	-965.883	-156.716	-809.167	0.690175	0.633102	0.719985	0.549539	0.1037507	0.8476141	0.5495391	0.7199847	0.6331019	0.6901755	0.05047749	0.05327324	0.1523859	69.38825	0.03520763	0.0712174	0.0689857	0.0691721	0.070371	0.0819072	0.084876	0.0597555	0.0637121	0.063994	0.0641095	0.0401004	0.0401936	0.0356191	0.0343086	0.0343926	0.0346494	0.0410386	0.0415971	69.38825	1758.837	0.4865266	0	0.782789	1	0.5505046	0.231228	0.218267	0.550505	0.2182673	0.4494954	0.2312281	0.7827891
150	-969.44	-157.986	-811.454	0.841037	0.405018	0.373786	0.320999	0.1038003	0.9062856	0.3209987	0.3737862	0.4050182	0.8410371	0.06658342	0.03721684	0.09371441	69.38825	0.05928114	0.0337884	0.0324171	0.0324426	0.0326413	0.0374842	0.0378987	0.0686703	0.0720398	0.0721494	0.0719086	0.058431	0.0580446	0.0642821	0.0622554	0.0623025	0.0626626	0.0698582	0.0707233	69.38825	1758.837	0.6414572	0	0.690478	1	0.33021	0.162063	0.507727	0.33021	0.5077266	0.66979	0.1620634	0.6904779
200	-965.837	-156.211	-809.627	0.456283	0.82899	0.599713	0.891493	0.08945031	0.881492	0.8914932	0.5997134	0.8289896	0.456283	0.03191434	0.05753598	0.118508	69.38825	0.0293887	0.0709841	0.070161	0.0701621	0.0702564	0.0722711	0.0724907	0.0514207	0.0529782	0.0529883	0.0529078	0.049064	0.0489088	0.0442548	0.0435422	0.0435474	0.0435686	0.0452266	0.0452671	69.38825	1758.837	0.3567828	0	0.560666	1	0.1202362	0.200174	0.67959	0.120236	0.6795901	0.8797638	0.2001737	0.5606664
250	-965.431	-155.901	-809.53	0.875976	0.830019	0.503596	0.870832	0.09516363	0.8343472	0.870832	0.5035956	0.830019	0.8759761	0.044038	0.05112563	0.1656528	69.38825	0.0315898	0.0499835	0.0452172	0.0450381	0.0454118	0.0517571	0.0527435	0.0642296	0.0755021	0.0755151	0.0755632	0.0598096	0.0594859	0.0519933	0.0464158	0.0464204	0.0465414	0.0539353	0.0544373	69.38825	1758.837	0.4627608	0	0.209075	1	0.3775708	0.229609	0.39282	0.377571	0.3928205	0.6224292	0.2296087	0.2090753
300	-966.513	-155.894	-810.619	0.723609	0.782793	0.403233	0.767978	0.097651	0.8936301	0.7679784	0.4032331	0.7827927	0.7236091	0.05573153	0.04191948	0.1063699	69.38825	0.0392257	0.0379726	0.0376508	0.0376531	0.0377095	0.0390736	0.0391722	0.0664457	0.0673165	0.0673249	0.0672189	0.0634209	0.0632679	0.062258	0.061701	0.0617057	0.0617771	0.0641051	0.0642265	69.38825	1758.837	0.5707215	0	0.747164	1	0.1038162	0.157957	0.738227	0.103816	0.7382273	0.8961838	0.1579565	0.7471644
350	-969.891	-159.845	-810.046	0.581639	0.736213	0.955197	0.734086	0.0861192	0.7228372	0.7340856	0.9551971	0.7362134	0.5816392	0.03153487	0.05458433	0.2771628	69.38825	0.0283287	0.109719	0.101943	0.10193	0.104836	0.117442	0.131096	0.0403384	0.0570418	0.0580281	0.0584522	0.0196211	0.0197306	0.0135941	0.0115329	0.0116587	0.0117739	0.0154216	0.0158396	69.38825	1758.837	0.366177	0	0.438427	1	0.8096936	0.0945325	0.095774	0.809694	0.09577395	0.1903064	0.0945325	0.4384272
400	-970.949	-162.425	-808.524	0.34795	0.489054	0.733006	0.758836	0.1107431	0.8704124	0.7588362	0.7330064	0.4890535	0.3479498	0.05909644	0.05164666	0.1295876	69.38825	0.01856915	0.0979728	0.0963337	0.0963119	0.0963736	0.0986201	0.0987734	0.0425117	0.0449359	0.0449384	0.0449231	0.0415801	0.0414929	0.0261356	0.0254352	0.0254359	0.0254415	0.0263838	0.0264004	69.38825	1758.837	0.5336354	0	0.243459	1	0.1320495	0.475729	0.392221	0.132049	0.3922212	0.8679505	0.4757294	0.2434586
450	-965.574	-156.048	-809.527	0.659402	0.657772	0.430326	0.502021	0.09889314	0.8641417	0.5020206	0.4303259	0.6577721	0.6594018	0.04630125	0.05259189	0.1358583	69.38825	0.04219729	0.0487631	0.0467956	0.0468684	0.0474966	0.0551811	0.056694	0.0650808	0.0694292	0.0696553	0.0695095	0.0498543	0.049573	0.0528746	0.050555	0.0506432	0.050972	0.0596547	0.0603997	69.38825	1758.837	0.4681947	0	0.712216	1	0.4631336	0.20927	0.327596	0.463134	0.3275961	0.5368664	0.2092704	0.7122158
