Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-1024.51	-168.911	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-955.387	-147.467	-807.921	0.948605	0.418373	0.823582	0.766582	0.1049606	0.696937	0.766582	0.8235815	0.4183731	0.9486045	0.0472669	0.05769366	0.303063	69.38825	0.01045274	0.0632374	0.0626294	0.0626294	0.0626842	0.0646973	0.0647794	0.0692835	0.0702028	0.0702143	0.0701921	0.0670864	0.0670481	0.0341339	0.0338357	0.0338371	0.0338494	0.0348203	0.0348391	69.38825	1758.837	0.4503301	0	0.684567	1	0.141861	0.713149	0.14499	0.141861	0.1449899	0.858139	0.7131491	0.6845668
100	-960.854	-150.461	-810.392	0.144024	0.523357	0.444136	0.755914	0.0893777	0.8356145	0.7559139	0.4441361	0.523357	0.1440236	0.04775602	0.04162167	0.1643855	69.38825	0.01254112	0.112959	0.112393	0.112395	0.112472	0.11441	0.11452	0.0339368	0.034878	0.0348952	0.0348832	0.031492	0.031471	0.0197561	0.0193941	0.0193983	0.0194039	0.0206675	0.0206752	69.38825	1758.837	0.534317	0	0.702296	1	0.2193618	0.702414	0.0782244	0.219362	0.07822438	0.7806382	0.7024138	0.7022955
150	-955.426	-147.112	-808.314	0.741891	0.856951	0.7876	0.741193	0.1036268	0.7118721	0.7411925	0.7875996	0.8569506	0.7418906	0.05545256	0.04817425	0.2881279	69.38825	0.01144754	0.0590025	0.0583655	0.0583629	0.0583959	0.0598122	0.0598662	0.05226	0.0535354	0.0535458	0.0535311	0.0506472	0.0506144	0.0553956	0.0547658	0.0547686	0.0547799	0.056165	0.0561861	69.38825	1758.837	0.5351179	0	0.537428	1	0.1382374	0.728333	0.13343	0.138237	0.1334296	0.8617626	0.728333	0.5374285
200	-958.904	-148.467	-810.437	0.781729	0.636123	0.94809	0.390751	0.1358399	0.7699769	0.3907506	0.9480897	0.6361235	0.7817287	0.1001146	0.03572535	0.2300231	69.38825	0.01757805	0.0548903	0.0546455	0.0546462	0.0546735	0.0556301	0.0556706	0.04417	0.0446068	0.0446097	0.0445749	0.0428388	0.0427856	0.0676046	0.067414	0.0674149	0.0674357	0.0681783	0.0682104	69.38825	1758.837	0.7370041	0	0.733127	1	0.0831792	0.575685	0.341136	0.0831792	0.3411356	0.9168208	0.5756852	0.7331274
250	-958.875	-149.56	-809.315	0.483608	0.631017	0.582438	0.3898	0.09873258	0.7134193	0.3897999	0.5824377	0.6310171	0.4836079	0.02985488	0.0688777	0.2865807	69.38825	0.0197278	0.0539397	0.0538411	0.0538414	0.05387	0.0543304	0.0543773	0.044147	0.044354	0.0443552	0.0443015	0.0433191	0.0432297	0.0685799	0.0684712	0.0684715	0.0685017	0.0690097	0.0690597	69.38825	1758.837	0.3023812	0	0.761778	1	0.05431615	0.373438	0.572246	0.0543161	0.5722463	0.9456839	0.3734376	0.7617783
300	-955.937	-147.324	-808.613	0.525774	0.412299	0.707456	0.367732	0.1011209	0.8119716	0.3677317	0.7074564	0.4122994	0.5257744	0.03949496	0.06162597	0.1880284	69.38825	0.01775557	0.0688419	0.0684	0.0684019	0.0684382	0.0703256	0.0703735	0.048916	0.049619	0.0496276	0.0496312	0.0465656	0.046569	0.0489017	0.0486458	0.0486478	0.0486513	0.0497198	0.0497242	69.38825	1758.837	0.3905716	0	0.760153	1	0.1483488	0.830106	0.0215456	0.148349	0.02154557	0.8516512	0.8301057	0.7601528
350	-958.652	-150.254	-808.398	0.21284	0.132784	0.624481	0.893601	0.09890582	0.8526239	0.8936015	0.6244808	0.1327837	0.2128402	0.03809431	0.0608115	0.1473761	69.38825	0.01418516	0.120579	0.120301	0.1203	0.120309	0.121	0.121014	0.04028	0.0405979	0.0405989	0.0405943	0.0398018	0.0397936	0.00580488	0.00576896	0.00576902	0.00576931	0.00585812	0.0058586	69.38825	1758.837	0.3851574	0	0.590112	1	0.04956844	0.829625	0.120807	0.0495684	0.1208066	0.9504316	0.829625	0.5901121
400	-958.936	-148.154	-810.782	0.427888	0.245645	0.34982	0.537487	0.1415162	0.8398406	0.5374874	0.3498197	0.245645	0.4278883	0.1031172	0.03839903	0.1601594	69.38825	0.02569578	0.068821	0.0657042	0.0656245	0.0658297	0.0706212	0.0709742	0.070277	0.0752919	0.0753325	0.0753611	0.0674434	0.0674175	0.0273813	0.0257942	0.0257996	0.0258161	0.0282355	0.028275	69.38825	1758.837	0.7286598	0	0.323429	1	0.2928936	0.605544	0.101563	0.292894	0.1015627	0.7071064	0.6055437	0.323429
450	-959.693	-151.349	-808.344	0.146591	0.532106	0.824955	0.812349	0.1191989	0.839815	0.8123495	0.8249549	0.532106	0.1465905	0.07633484	0.04286409	0.160185	69.38825	0.008278193	0.128822	0.12882	0.12882	0.12882	0.128835	0.128835	0.0228815	0.0228835	0.0228835	0.0228835	0.0228621	0.022862	0.0149636	0.014963	0.014963	0.014963	0.0149694	0.0149694	69.38825	1758.837	0.6403987	0	0.906371	1	0.001954676	0.98113	0.0169149	0.00195468	0.01691487	0.9980453	0.9811305	0.9063707
