Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-981.55	-125.95	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-935.299	-126.696	-808.603	0.873312	0.657049	0.59794	0.691972	0.1071159	0.7922181	0.691972	0.5979401	0.6570487	0.8733115	0.05136831	0.05574756	0.2077819	69.38825	0.02124349	0.0588326	0.0524119	0.0519751	0.0525639	0.0600174	0.0618692	0.0588695	0.0728987	0.0727735	0.0728677	0.0554731	0.054786	0.0480151	0.042486	0.0424509	0.0425756	0.0491222	0.0500114	69.38825	1758.837	0.4795583	0	0.103152	1	0.4136301	0.122363	0.464007	0.41363	0.4640073	0.5863699	0.1223626	0.1031515
100	-936.893	-128.19	-808.703	0.861947	0.68257	0.814777	0.741098	0.1099574	0.7764778	0.7410983	0.8147766	0.6825702	0.8619473	0.05120949	0.05874794	0.2235222	69.38825	0.02144067	0.0699051	0.0636139	0.0631633	0.0636478	0.0702907	0.0716426	0.0520501	0.0642864	0.0641209	0.0642483	0.0508799	0.050338	0.0438728	0.0396935	0.0396476	0.0397113	0.0442016	0.0446861	69.38825	1758.837	0.465721	0	0.0201167	1	0.3576966	0.170037	0.472266	0.357697	0.472266	0.6423034	0.1700373	0.02011667
150	-934.895	-124.726	-810.169	0.48813	0.585716	0.522315	0.755588	0.08776438	0.852099	0.7555885	0.5223153	0.5857164	0.4881295	0.02423515	0.06352923	0.147901	69.38825	0.04057007	0.100935	0.0913881	0.0922006	0.094727	0.107213	0.144523	0.0575583	0.0810963	0.0833246	0.0842064	0.011831	0.0134416	0.00604239	0.00490691	0.00502861	0.00509056	0.00778891	0.00869791	69.38825	1758.837	0.2761387	0	0.529091	1	0.923306	0.0392813	0.0374127	0.923306	0.0374127	0.07669404	0.03928134	0.5290913
200	-936.423	-126.599	-809.823	0.414988	0.55055	0.175935	0.575485	0.09197706	0.8621205	0.5754855	0.1759353	0.55055	0.4149883	0.02883338	0.06314369	0.1378795	69.38825	0.0400949	0.0479251	0.0474176	0.0480038	0.0514228	0.068116	0.0848893	0.103186	0.105101	0.105766	0.107032	0.0456844	0.0474857	0.0179152	0.0175396	0.0176246	0.018009	0.0325898	0.0342917	69.38825	1758.837	0.3134844	0	0.948506	1	0.8345803	0.0977996	0.0676201	0.83458	0.06762012	0.1654197	0.0977996	0.9485062
250	-936.209	-126.516	-809.692	0.853668	0.75788	0.817151	0.775676	0.09169627	0.8204858	0.7756762	0.8171505	0.7578795	0.853668	0.0207139	0.07098237	0.1795142	69.38825	0.01815491	0.0849442	0.0725439	0.0710825	0.0729866	0.0868645	0.0930676	0.0444076	0.0714609	0.0709827	0.0717594	0.0381591	0.0385066	0.0330855	0.0270075	0.0268911	0.0271249	0.0340331	0.0350925	69.38825	1758.837	0.2258969	0	0.11665	1	0.6297081	0.121604	0.248688	0.629708	0.2486884	0.3702919	0.1216035	0.1166501
300	-934.992	-125.746	-809.246	0.419206	0.469742	0.97169	0.490539	0.09909722	0.7470514	0.4905387	0.9716903	0.4697423	0.4192057	0.03291304	0.06618418	0.2529486	69.38825	0.02405237	0.124077	0.114283	0.111204	0.114235	0.123858	0.13293	0.0215216	0.0455097	0.0450358	0.0455255	0.0186792	0.0180605	0.0152887	0.0129361	0.0128682	0.0129443	0.0153674	0.0156764	69.38825	1758.837	0.3321288	0	0.0430528	1	0.7193638	0.0732971	0.207339	0.719364	0.2073391	0.2806362	0.07329708	0.04305278
350	-934.229	-125.25	-808.979	0.583192	0.592485	0.897047	0.911701	0.1065783	0.7134129	0.911701	0.8970466	0.5924855	0.583192	0.04257368	0.06400464	0.2865871	69.38825	0.02186353	0.113129	0.101573	0.0986744	0.101888	0.113927	0.124827	0.0323678	0.0600077	0.0595582	0.0601757	0.0269579	0.0262972	0.0148867	0.0116821	0.0116294	0.0117174	0.0151586	0.0155423	69.38825	1758.837	0.3994591	0	0.0801883	1	0.7171392	0.0786066	0.204254	0.717139	0.2042542	0.2828608	0.07860661	0.08018834
400	-934.715	-126.094	-808.62	0.570266	0.655674	0.735217	0.491592	0.1030403	0.5682413	0.4915922	0.7352174	0.655674	0.570266	0.04476523	0.05827511	0.4317587	69.38825	0.02049465	0.104833	0.0959189	0.092591	0.0948934	0.10232	0.124098	0.03576	0.0661539	0.0663699	0.0662107	0.0211797	0.0171806	0.0206542	0.0163151	0.0163388	0.0163504	0.020889	0.0219431	69.38825	1758.837	0.4344437	0	0.135312	1	0.8291649	0.00489156	0.165944	0.829165	0.1659435	0.1708351	0.004891557	0.1353125
450	-935.744	-125.479	-810.265	0.526167	0.561668	0.254582	0.835752	0.08589323	0.7442129	0.835752	0.2545819	0.5616683	0.5261671	0.01802476	0.06786848	0.2557871	69.38825	0.02845739	0.0663931	0.0573003	0.0562218	0.0595343	0.0737294	0.0883949	0.0759686	0.100018	0.101045	0.101779	0.0519954	0.0519937	0.020522	0.0143766	0.0144718	0.0146753	0.0253036	0.026278	69.38825	1758.837	0.2098507	0	0.308017	1	0.8073129	0.0965654	0.0961217	0.807313	0.09612168	0.1926871	0.09656538	0.3080168
