Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-992.528	-136.929	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.107542	0.0932041	0.0892999	0.0929161	0.10412	0.140339	0.0247665	0.0881106	0.0871514	0.0887959	0.0125268	0.014073	0.0108661	0.00771541	0.00764287	0.00776794	0.0109077	0.0122541	69.38825	1758.837	0.75	0	0.1	1	0.9142857	0.0285714	0.0571429	0.914286	0.05714286	0.08571429	0.02857143	0.1
50	-949.158	-139.196	-809.963	0.962505	0.66261	0.884914	0.920086	0.0897614	0.968865	0.920086	0.8849139	0.6626101	0.9625049	0.02742845	0.06233295	0.03113498	69.38825	0.04077106	0.086492	0.0706053	0.0694528	0.0707594	0.0874044	0.0911071	0.0457976	0.076002	0.0749558	0.0761573	0.0426991	0.044114	0.0300458	0.0242843	0.0239751	0.0243331	0.0303776	0.0314373	69.38825	1758.837	0.3055706	0	0.0647121	1	0.5593303	0.173217	0.267453	0.55933	0.267453	0.4406697	0.1732167	0.06471215
100	-945.983	-135.229	-810.755	0.738149	0.849777	0.997489	0.872284	0.09037824	0.9310704	0.8722844	0.9974891	0.849777	0.7381488	0.01782479	0.07255345	0.06892957	69.38825	0.03971101	0.0963712	0.0885901	0.0892788	0.0918676	0.111979	0.12033	0.0506827	0.0639183	0.0646552	0.0661096	0.0231217	0.0244011	0.0175566	0.015829	0.0159884	0.0163067	0.0210783	0.0219353	69.38825	1758.837	0.1972244	0	0.608102	1	0.7502507	0.235764	0.0139849	0.750251	0.0139849	0.2497493	0.2357644	0.6081024
150	-945.611	-136.317	-809.294	0.994753	0.650213	0.695356	0.616233	0.1083028	0.8496006	0.6162327	0.6953563	0.6502132	0.994753	0.05808166	0.05022116	0.1503994	69.38825	0.03796647	0.0914476	0.0729773	0.0701903	0.0738143	0.0916872	0.120522	0.0370356	0.0988748	0.0976856	0.100356	0.0210461	0.0244095	0.0186852	0.0134094	0.0132766	0.0135843	0.0192629	0.0217356	69.38825	1758.837	0.5362895	0	0.130334	1	0.8755232	0.0571868	0.06729	0.875523	0.06728999	0.1244768	0.05718684	0.1303337
200	-946.951	-137.075	-809.876	0.458449	0.649373	0.845429	0.770472	0.1013219	0.9286682	0.7704716	0.8454286	0.6493728	0.4584485	0.04149591	0.05982601	0.07133179	69.38825	0.06756604	0.117168	0.103312	0.101438	0.104108	0.119441	0.12621	0.0267362	0.0541444	0.0535573	0.0545803	0.0217083	0.0223903	0.0170728	0.0141811	0.0140506	0.014283	0.0175528	0.018066	69.38825	1758.837	0.4095453	0	0.123664	1	0.6941259	0.187286	0.118589	0.694126	0.1185886	0.3058741	0.1872855	0.1236637
250	-948.385	-139.144	-809.241	0.873344	0.871172	0.789773	0.171479	0.0967852	0.9509735	0.1714794	0.7897735	0.8711723	0.873344	0.03453123	0.06225397	0.04902648	69.38825	0.02922432	0.0343322	0.0310362	0.0309321	0.0310748	0.0347191	0.034933	0.0237113	0.0338568	0.0338013	0.0338967	0.0225688	0.0226302	0.108272	0.102086	0.102005	0.102151	0.108891	0.109103	69.38825	1758.837	0.3567821	0	0.090061	1	0.4249498	0.507374	0.0676766	0.42495	0.06767663	0.5750502	0.5073735	0.09006101
300	-945.575	-136.075	-809.5	0.967943	0.900563	0.946128	0.67014	0.1047456	0.9127482	0.6701401	0.9461284	0.9005629	0.9679432	0.05800089	0.04674472	0.08725184	69.38825	0.034376	0.0885718	0.0736124	0.0723475	0.0744169	0.0908292	0.10112	0.037728	0.0734293	0.0728198	0.0742154	0.0268205	0.0286797	0.0333132	0.0269248	0.0267384	0.0271885	0.0343777	0.0368667	69.38825	1758.837	0.553731	0	0.170115	1	0.7318601	0.0879336	0.180206	0.73186	0.1802064	0.2681399	0.08793356	0.1701151
350	-947.666	-137.043	-810.623	0.898927	0.86502	0.621612	0.143065	0.1414672	0.9150081	0.1430652	0.6216117	0.8650203	0.8989272	0.09341135	0.0480559	0.08499186	69.38825	0.0357265	0.0455052	0.0417247	0.0422217	0.0438345	0.0574313	0.0651387	0.0494685	0.0587099	0.0596375	0.0610357	0.0177053	0.0191191	0.0720412	0.0671612	0.0677586	0.0687094	0.0803886	0.0824089	69.38825	1758.837	0.6603037	0	0.694031	1	0.8215805	0.16292	0.0154994	0.821581	0.01549936	0.1784195	0.1629201	0.6940312
400	-947.554	-137.748	-809.806	0.657903	0.782397	0.536868	0.99631	0.101157	0.9709547	0.9963104	0.5368683	0.7823965	0.6579032	0.03810088	0.06305615	0.02904526	69.38825	0.0542035	0.0802885	0.0669185	0.0667272	0.0683125	0.0890957	0.0940801	0.0560254	0.080511	0.0805588	0.0820743	0.0394087	0.0410989	0.0269156	0.0219347	0.0219469	0.0223415	0.0302741	0.0314876	69.38825	1758.837	0.3766508	0	0.328183	1	0.6561999	0.264893	0.078907	0.6562	0.078907	0.3438001	0.2648931	0.3281833
450	-949.943	-140.558	-809.385	0.946756	0.669502	0.415208	0.753461	0.1050782	0.8964939	0.753461	0.4152078	0.6695019	0.9467561	0.0372192	0.06785902	0.1035061	69.38825	0.02325156	0.0423716	0.0373526	0.0372214	0.0374992	0.0441435	0.0448054	0.0702996	0.0826165	0.0826059	0.0827463	0.0657205	0.0656766	0.0535432	0.0471207	0.0471168	0.0472447	0.0557309	0.0561847	69.38825	1758.837	0.3542047	0	0.210974	1	0.377421	0.292731	0.329848	0.377421	0.3298484	0.622579	0.2927306	0.2109741
