Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	birth	br_base	br_CW	br_TW	br_WC	br_WT	death	diversification	dr_base	endAge	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	root_age	tree_length	turnover	w_adj[1]	w_adj[2]	w_adj[3]	w_biome	w_graph[1]	w_graph[2]	w_graph[3]	w_land	w_not_biome	w_null	y_subdominant
0	-977.598	-121.999	-855.599	1	1	1	1	0.04	0.75	1	1	1	1	0.03	0.01	0.25	69.38825	0.03	0.10234	0.0869161	0.0832722	0.0872243	0.101831	0.124346	0.0313451	0.0811343	0.0800742	0.0817743	0.0211306	0.0224432	0.0181128	0.0132694	0.0131351	0.0133591	0.0184155	0.0198772	69.38825	1758.837	0.75	0	0.1	1	0.8421053	0.0526316	0.105263	0.842105	0.1052632	0.1578947	0.05263158	0.1
50	-936.983	-124.76	-812.223	0.723072	0.538844	0.134535	0.748025	0.160041	0.9184663	0.7480246	0.1345354	0.5388444	0.7230716	0.111144	0.04889705	0.08153372	69.38825	0.0322397	0.0172114	0.0167932	0.0167915	0.016797	0.0173315	0.017349	0.0876592	0.0896197	0.0896213	0.0896122	0.0870948	0.0870388	0.0617942	0.0602552	0.0602559	0.0602662	0.06223	0.0622789	69.38825	1758.837	0.6944718	0	0.194892	1	0.07295331	0.497781	0.429265	0.0729533	0.4292655	0.9270467	0.4977812	0.1948924
100	-932.784	-123.281	-809.503	0.622348	0.839974	0.744238	0.757213	0.1153415	0.8625839	0.7572129	0.7442381	0.8399742	0.6223483	0.06693765	0.04840386	0.1374161	69.38825	0.04179994	0.0676234	0.0658415	0.0658428	0.0660342	0.0699932	0.0704434	0.0508038	0.0541974	0.054237	0.0541332	0.0462304	0.046012	0.0481889	0.0466855	0.0467048	0.0467723	0.0500449	0.0502112	69.38825	1758.837	0.5803431	0	0.524438	1	0.2335443	0.238788	0.527667	0.233544	0.5276672	0.7664557	0.2387884	0.524438
150	-929.744	-120.352	-809.392	0.251509	0.995291	0.388466	0.97731	0.1203422	0.8748714	0.9773103	0.3884655	0.9952911	0.2515095	0.07035963	0.04998258	0.1251286	69.38825	0.0352115	0.0814848	0.0789707	0.0788972	0.0791758	0.0829348	0.0840579	0.0444012	0.0498522	0.0498818	0.0497651	0.0415107	0.0410341	0.0406717	0.0380505	0.0380658	0.0380659	0.0416051	0.0415747	69.38825	1758.837	0.5846629	0	0.266184	1	0.2581358	0.0951859	0.646678	0.258136	0.6466783	0.7418642	0.09518591	0.2661838
200	-930.335	-121.587	-808.748	0.600105	0.435787	0.818688	0.53229	0.1009306	0.8525836	0.5322904	0.8186877	0.435787	0.6001047	0.04478535	0.0561453	0.1474164	69.38825	0.02274766	0.0734456	0.0734293	0.0734314	0.0735483	0.0754524	0.0756136	0.0535695	0.0535983	0.0535993	0.0534635	0.0504278	0.0502681	0.0396571	0.0396484	0.0396487	0.0397051	0.0407085	0.040785	69.38825	1758.837	0.443724	0	0.987008	1	0.1005442	0.224519	0.674936	0.100544	0.6749365	0.8994558	0.2245194	0.987008
250	-931.295	-121.949	-809.346	0.709059	0.570743	0.68327	0.955431	0.09885222	0.8628005	0.9554313	0.6832703	0.5707431	0.7090594	0.03723205	0.06162016	0.1371995	69.38825	0.03542204	0.0945387	0.0796966	0.0783015	0.0809199	0.0998209	0.106675	0.0480836	0.0766744	0.0763943	0.0777295	0.0381361	0.039255	0.0188135	0.0146157	0.0145761	0.0147772	0.0202554	0.0207363	69.38825	1758.837	0.3766436	0	0.195495	1	0.6959326	0.240138	0.0639297	0.695933	0.0639297	0.3040674	0.2401377	0.1954954
300	-929.748	-119.58	-810.168	0.555969	0.933807	0.906407	0.649886	0.08562624	0.8441875	0.649886	0.9064072	0.9338071	0.5559694	0.02237904	0.0632472	0.1558125	69.38825	0.03313581	0.0809012	0.0776165	0.0775832	0.0779971	0.083961	0.0850856	0.0402262	0.0463319	0.0464154	0.0463348	0.0343272	0.0340672	0.0452946	0.0429782	0.0430196	0.0431094	0.0472371	0.0475139	69.38825	1758.837	0.2613573	0	0.430277	1	0.3686483	0.200462	0.430889	0.368648	0.4308893	0.6313517	0.2004624	0.4302768
350	-929.477	-120.815	-808.662	0.819989	0.78714	0.792023	0.904531	0.1146908	0.8145786	0.9045307	0.7920232	0.7871402	0.819989	0.05426556	0.06042523	0.1854214	69.38825	0.01658237	0.0591978	0.0587031	0.0587049	0.0587773	0.0603937	0.060528	0.0594064	0.060346	0.0603532	0.060262	0.057134	0.0569795	0.0480602	0.0476218	0.0476245	0.0476694	0.0490791	0.0491592	69.38825	1758.837	0.4731466	0	0.670589	1	0.0990821	0.265282	0.635636	0.0990821	0.635636	0.9009179	0.2652819	0.6705888
400	-929.831	-120.259	-809.573	0.539225	0.638925	0.900089	0.812351	0.09666049	0.8827998	0.812351	0.9000889	0.6389253	0.5392249	0.02838233	0.06827816	0.1172002	69.38825	0.0261837	0.0863844	0.0854123	0.0854298	0.0856141	0.0900333	0.0903267	0.0488146	0.050287	0.0503121	0.0502766	0.0432719	0.043218	0.0314367	0.0309785	0.0309876	0.0310174	0.0330772	0.0331219	69.38825	1758.837	0.2936291	0	0.770132	1	0.2272564	0.506922	0.265822	0.227256	0.2658216	0.7727436	0.5069221	0.7701316
450	-931.354	-121.34	-810.014	0.312265	0.508679	0.505151	0.490567	0.1108825	0.8814627	0.490567	0.5051515	0.508679	0.3122648	0.0413701	0.06951237	0.1185373	69.38825	0.03004195	0.0848154	0.0817796	0.0817059	0.0819336	0.0864991	0.0869417	0.0431194	0.0484736	0.0485072	0.0485055	0.0401931	0.0400894	0.03854	0.0365477	0.0365598	0.0365902	0.0395631	0.0396355	69.38825	1758.837	0.3730987	0	0.314621	1	0.2966436	0.478205	0.225151	0.296644	0.2251509	0.7033564	0.4782055	0.3146208
