m,t0,t1,pi_s,b,a,s
1,80,65,0.0540322,1,1,1
1,80,65,0.0494103,1,2,2
1,80,65,0.0491998,1,3,3
1,80,65,0.0517141,1,4,4
1,80,65,0.061433,1,5,5
1,80,65,0.0713772,1,6,6
1,80,65,0.0690866,2,1,7
1,80,65,0.0815854,2,2,8
1,80,65,0.0826507,2,3,9
1,80,65,0.0828709,2,4,10
1,80,65,0.0473647,2,5,11
1,80,65,0.0466806,2,6,12
1,80,65,0.0428552,3,1,13
1,80,65,0.0376388,3,2,14
1,80,65,0.0377756,3,3,15
1,80,65,0.0380757,3,4,16
1,80,65,0.0478005,3,5,17
1,80,65,0.0486911,3,6,18
2,65,56,0.0541024,1,1,1
2,65,56,0.0494636,1,2,2
2,65,56,0.0494758,1,3,3
2,65,56,0.051408,1,4,4
2,65,56,0.0612634,1,5,5
2,65,56,0.0713684,1,6,6
2,65,56,0.0691217,2,1,7
2,65,56,0.0816109,2,2,8
2,65,56,0.0827305,2,3,9
2,65,56,0.0828052,2,4,10
2,65,56,0.0473425,2,5,11
2,65,56,0.0466843,2,6,12
2,65,56,0.0428657,3,1,13
2,65,56,0.0376455,3,2,14
2,65,56,0.0377893,3,3,15
2,65,56,0.0380701,3,4,16
2,65,56,0.0477985,3,5,17
2,65,56,0.0486961,3,6,18
3,56,48,0.0540831,1,1,1
3,56,48,0.0494327,1,2,2
3,56,48,0.0494788,1,3,3
3,56,48,0.0514403,1,4,4
3,56,48,0.0612843,1,5,5
3,56,48,0.0713691,1,6,6
3,56,48,0.0690755,2,1,7
3,56,48,0.0814462,2,2,8
3,56,48,0.0827365,2,3,9
3,56,48,0.0829925,2,4,10
3,56,48,0.047356,2,5,11
3,56,48,0.046684,2,6,12
3,56,48,0.0428558,3,1,13
3,56,48,0.0376238,3,2,14
3,56,48,0.0377895,3,3,15
3,56,48,0.0380944,3,4,16
3,56,48,0.0478037,3,5,17
3,56,48,0.0486958,3,6,18
4,48,33.9,0.050416,1,1,1
4,48,33.9,0.0463437,1,2,2
4,48,33.9,0.0408588,1,3,3
4,48,33.9,0.0488743,1,4,4
4,48,33.9,0.0585308,1,5,5
4,48,33.9,0.0555427,1,6,6
4,48,33.9,0.0715292,2,1,7
4,48,33.9,0.0849882,2,2,8
4,48,33.9,0.0898518,2,3,9
4,48,33.9,0.0864266,2,4,10
4,48,33.9,0.0503119,2,5,11
4,48,33.9,0.0681117,2,6,12
4,48,33.9,0.042885,3,1,13
4,48,33.9,0.0377999,3,2,14
4,48,33.9,0.0384246,3,3,15
4,48,33.9,0.0382595,3,4,16
4,48,33.9,0.0478807,3,5,17
4,48,33.9,0.0430235,3,6,18
5,33.9,23,0.0316418,1,1,1
5,33.9,23,0.0215076,1,2,2
5,33.9,23,0.0147466,1,3,3
5,33.9,23,0.02217,1,4,4
5,33.9,23,0.0353285,1,5,5
5,33.9,23,0.028206,1,6,6
5,33.9,23,0.0543022,2,1,7
5,33.9,23,0.0541307,2,2,8
5,33.9,23,0.0548296,2,3,9
5,33.9,23,0.0538329,2,4,10
5,33.9,23,0.037605,2,5,11
5,33.9,23,0.0597924,2,6,12
5,33.9,23,0.0767999,3,1,13
5,33.9,23,0.0960843,3,2,14
5,33.9,23,0.0962632,3,3,15
5,33.9,23,0.0962375,3,4,16
5,33.9,23,0.0878555,3,5,17
5,33.9,23,0.0786685,3,6,18
6,23,16,0.026501,1,1,1
6,23,16,0.0199123,1,2,2
6,23,16,0.0133263,1,3,3
6,23,16,0.0136465,1,4,4
6,23,16,0.0352929,1,5,5
6,23,16,0.0277724,1,6,6
6,23,16,0.0658322,2,1,7
6,23,16,0.0589949,2,2,8
6,23,16,0.0592541,2,3,9
6,23,16,0.0580925,2,4,10
6,23,16,0.058583,2,5,11
6,23,16,0.0620709,2,6,12
6,23,16,0.0626982,3,1,13
6,23,16,0.0961581,3,2,14
6,23,16,0.0962256,3,3,15
6,23,16,0.0961333,3,4,16
6,23,16,0.0726825,3,5,17
6,23,16,0.0768234,3,6,18
7,16,5.3,0.0262842,1,1,1
7,16,5.3,0.0195861,1,2,2
7,16,5.3,0.0128778,1,3,3
7,16,5.3,0.0130743,1,4,4
7,16,5.3,0.0285032,1,5,5
7,16,5.3,0.0280766,1,6,6
7,16,5.3,0.066992,2,1,7
7,16,5.3,0.0601378,2,2,8
7,16,5.3,0.0603796,2,3,9
7,16,5.3,0.0623903,2,4,10
7,16,5.3,0.0690609,2,5,11
7,16,5.3,0.0644762,2,6,12
7,16,5.3,0.0618394,3,1,13
7,16,5.3,0.0962407,3,2,14
7,16,5.3,0.0963005,3,3,15
7,16,5.3,0.0970803,3,4,16
7,16,5.3,0.0604064,3,5,17
7,16,5.3,0.0762936,3,6,18
8,5.3,0,0.0262827,1,1,1
8,5.3,0,0.0195849,1,2,2
8,5.3,0,0.0128788,1,3,3
8,5.3,0,0.0130606,1,4,4
8,5.3,0,0.028379,1,5,5
8,5.3,0,0.0282569,1,6,6
8,5.3,0,0.0669773,2,1,7
8,5.3,0,0.0601181,2,2,8
8,5.3,0,0.0603613,2,3,9
8,5.3,0,0.0621833,2,4,10
8,5.3,0,0.0685044,2,5,11
8,5.3,0,0.0651822,2,6,12
8,5.3,0,0.0618393,3,1,13
8,5.3,0,0.09621,3,2,14
8,5.3,0,0.096271,3,3,15
8,5.3,0,0.0969893,3,4,16
8,5.3,0,0.0608579,3,5,17
8,5.3,0,0.076063,3,6,18
